iso3,year,TXx,TNx,SU,TR,WSDI,TN90p
GBR,2012,27.362883911846748,17.125324864377045,11.280786235788922,0.12487733296823075,14.073723860197278,15.558735006278724
GBR,2013,29.02657124022258,17.491539858909018,15.031090570730072,0.15080828932611637,6.831876307714905,14.527054430344172
GBR,2014,27.97282567043754,17.49599142195684,11.991023553092495,0.12549542265241584,15.422588631228498,22.477806479259094
GBR,2015,28.734020167719066,17.270756830005812,11.55059777876193,0.29484208818426605,20.65194945436899,17.20213066894109
GBR,2016,28.788822830510732,17.896252841409066,13.799998741373075,0.21664362399176376,11.285040164078499,17.709695490939637
GBR,2017,28.15444865056158,16.84488501548763,13.444017425201153,0.17382923022454613,9.160292163612127,17.578240283126128
GBR,2018,30.986320048599435,19.186725815682806,35.76336227008292,0.6818052290427484,28.09354807299155,22.225425374643326
GEO,2000,37.28157324034428,23.452465147907795,90.73072291985005,25.453871415564905,9.731767038846677,15.531048931099479
GEO,2001,35.15628888143975,23.25821371701418,89.67905837120422,24.78771248834334,17.8782659196333,17.827776868010364
GEO,2002,33.69776671596573,21.875215413641758,87.63828867642697,22.4705769838456,21.27831745378633,17.540947320963262
GEO,2003,34.31924712873044,21.43255745320443,85.81035609053674,16.988650016100877,4.734089438116393,12.509552512954604
GEO,2004,32.675346966021124,21.029004223076562,83.81434950517065,16.290918284069324,12.809653122624496,16.557282521916697
GEO,2005,35.24706243671697,22.935520912813036,99.96058928699637,25.927333832903752,9.177644109910785,16.86802752945319
GEO,2006,36.88572833612503,22.97542128985769,90.95371470850792,27.341713059992543,20.965268989994907,17.59850031870699
GEO,2007,35.455191003427416,22.33033632514054,105.07425533663711,28.876968818863848,31.043331502691935,18.879521055571832
GEO,2008,34.71755329252345,22.410167177655353,89.68705529148603,24.48574005682898,17.46671310227369,17.576748696231046
GEO,2009,33.852613822067084,21.750005046029326,83.06625217694837,19.023486420130233,12.149740726469721,16.848219147280734
